Top 30 in network string_interactions_short%20(458).tsv ranked by MCC method
Rank,Name,Score
1,TOP2A,6.706022669E9
2,RRM2,6.706022666E9
3,NCAPG,6.706022664E9
4,BUB1B,6.706022546E9
5,CENPU,6.706022523E9
6,CENPF,6.706022521E9
7,AURKA,6.706022427E9
8,TPX2,6.706022425E9
9,MKI67,6.706022412E9
10,BIRC5,6.706022403E9
11,CDCA5,6.7060224E9
11,NUSAP1,6.7060224E9
13,EZH2,6.227020834E9
14,ECT2,6.227020801E9
15,TK1,4.79001722E8
16,GSTP1,976.0
17,GSTM1,962.0
18,GSTM3,961.0
19,GSTM2,960.0
19,GSTM4,960.0
21,CYP3A4,751.0
22,CYP3A5,742.0
23,DHFR,163.0
24,PAICS,155.0
25,KRT5,136.0
26,GPX3,124.0
27,ALDH3B2,121.0
28,KRT14,111.0
29,KRT17,98.0
30,SERPINB5,88.0
