"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"209915_s_at" -4.30923778175 4.995492239125 -14.231360047447 5.45473832545894e-07 0.011804480756529 5.97092525606806
"201890_at" 4.4304287295 8.64661870525 13.9292987660041 6.44367130020417e-07 0.011804480756529 5.86369988453044
"230577_at" -5.8282157695 10.28796231275 -13.4430613900574 8.48650471108043e-07 0.011804480756529 5.68241881987803
"1554872_a_at" -3.49102229425 4.085839957625 -13.3211067096729 9.10651176364416e-07 0.011804480756529 5.6351940471833
"219360_s_at" 2.88077122225 11.087423553875 12.5160405059217 1.47307168567582e-06 0.011804480756529 5.30445411501339
"218741_at" 2.90842231275 6.594564945625 12.2833208843921 1.70173901268669e-06 0.011804480756529 5.2023272319839
"230238_at" -4.05154035375 8.053757069125 -11.8069638461123 2.30465554362355e-06 0.011804480756529 4.98342973598382
"1559149_at" -5.61733141575 4.245164520625 -11.8040721204555 2.3089799485359e-06 0.011804480756529 4.98205898360018
"220026_at" -5.893543711 4.4204027975 -11.6728670266611 2.5150702690156e-06 0.011804480756529 4.91931494367996
"231925_at" -2.64831779575 10.078326164625 -11.6490019498777 2.55472471479617e-06 0.011804480756529 4.90778581743416
"243311_at" -5.11708178075 8.330364159625 -11.3797648106355 3.05400704747785e-06 0.011804480756529 4.77517792267866
"242138_at" 5.395035177 7.8923090915 11.3479880094866 3.11981080227632e-06 0.011804480756529 4.75921362362974
"219148_at" 4.30656039875 7.278422140625 11.2736184111175 3.28009868009294e-06 0.011804480756529 4.72158758792227
"209773_s_at" 3.96288046725 8.334041956125 11.2262584785174 3.38696060720816e-06 0.011804480756529 4.6974325632836
"204412_s_at" -6.76704581575 10.629533354625 -11.1507788844741 3.56540527971305e-06 0.011804480756529 4.65862027547887
"204126_s_at" 4.05854895025 3.720947464875 11.1187273822591 3.6443368747784e-06 0.011804480756529 4.64202091672819
"218694_at" -2.94484031925 10.924187327875 -11.1083354570314 3.6703460971375e-06 0.011804480756529 4.63662375664795
"231325_at" -4.4828939955 8.29675714725 -10.7698509058035 4.6423254731651e-06 0.014101063624739 4.45667043791213
